,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
90,假如电棍是lpl教练,https://www.bilibili.com/video/BV1F14y1L7wL,max芝麻,0,36455,25,374,1707,0,564,447
91,“我普通话最好了！”,https://www.bilibili.com/video/BV1cG411j7e5,老红云Tobias,0,442266,162,4833,17967,0,3950,3757
92,酒 桌 文 化,https://www.bilibili.com/video/BV1Ee411G787,天天吃八碗,0,46493,82,210,2070,0,205,265
93,【红楼梦】我肯定在几百年前就经常怼你,https://www.bilibili.com/video/BV1Ng411h7iA,氧先森,0,102850,284,3121,12159,0,932,2372
94,电棍：县城♿,https://www.bilibili.com/video/BV1iG4y1h7HM,得得Derb朔,0,45815,206,2425,3248,0,909,1900
95,热血高校，但是东百往事,https://www.bilibili.com/video/BV1ke411G797,贵物虎虎侠,0,41597,160,376,1670,0,373,466
96,不，你来的正是时候,https://www.bilibili.com/video/BV17V4y1G7bw,十代冥王,0,739419,2058,3891,31336,0,7310,6620
97,全 员 奸 臣,https://www.bilibili.com/video/BV14g411Y7iy,小生兀礼,0,2777440,1281,12816,255407,0,9798,46472
98,当他出现了我才知道跑道为什么是蓝色的           ——博尔特,https://www.bilibili.com/video/BV1De41157L6,CHOSEN-1Hz,0,747532,25,130,9069,0,959,1022
99,贾斯汀·细狗,https://www.bilibili.com/video/BV1Ve411V7aZ,欣亦然灬,0,337114,356,3056,15813,0,2009,3851
