,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
37,爆肝68小时！机甲才是男人的浪漫《环太平洋》裸眼3D跃屏效果。,https://www.bilibili.com/video/BV1814y1L7L9,益汁喵,0,384652,147,10652,23196,0,1062,5154
38,眼镜娘的服务总是那么细致,https://www.bilibili.com/video/BV1m14y157Yd,临时工小陈,0,835084,103,521,39100,0,154,1905
39,小时候吓哭了？盘点那些堪称童年阴影的香港恐怖片,https://www.bilibili.com/video/BV1de4y147c5,刘老师说电影,0,435417,3997,2594,26798,0,820,2941
40,56恋爱全纪录｜“姐姐，今天开始和我恋爱吧！”,https://www.bilibili.com/video/BV1M14y1L7bx,在逃摩托车手,0,283016,439,10008,21703,0,4856,10167
41,救命！终于有男主吐血战损也不影响打戏攻击性了！这才是男频文里侠而不柔的打戏！｜王鹤棣｜将夜2,https://www.bilibili.com/video/BV1yg411z7UC,圈肉火腿,0,301719,1506,5257,19163,0,2076,7216
42,什么是蒙太奇式谎言,https://www.bilibili.com/video/BV1Me4y1v77x,娱香Rose,0,461494,38,100,26973,0,220,4335
43,建议情侣都来学一下这个妆容，万圣节秀死大家！,https://www.bilibili.com/video/BV1Rd4y1y7vY,杨三岁和小鱼,0,340768,100,892,49812,0,2167,1409
44,6个人挑战逃出5米的大深坑，小伙竟然选择徒手攀爬，他能成功吗？,https://www.bilibili.com/video/BV1Ag41167Xp,K叔趣侃,0,552374,217,194,13382,0,21,516
45,香港电影竟如此丧心病狂31：金公主出台，新艺城七怪齐心闹翻香港,https://www.bilibili.com/video/BV1584y1i7Mg,王知无,0,286592,2589,12680,19500,0,406,3357
46,“愿天堂没有观音”,https://www.bilibili.com/video/BV1Um4y1F7PV,七月的小哥,0,529436,266,110,15635,0,149,1305
47,华佗问斩路上遇到瞎眼乞丐，怎料他一句话就让对方重获新生！①,https://www.bilibili.com/video/BV11V4y1g7di,幕撩电影,0,839286,25,61,2271,0,1,2025
48,父亲为了五块钱，把儿子卖给一个算命先生，却改变了孩子的一生,https://www.bilibili.com/video/BV1RW4y1j7K4,一悟电影,0,659306,228,214,3603,0,59,1301
49,驸马爷贩茶，朱元璋要求严查，皇后发话别查，刘伯温可太难了,https://www.bilibili.com/video/BV1QK411U7YC,二棉裤说剧,0,421081,2068,5967,17014,0,171,987
50,既生瑜，何生亮,https://www.bilibili.com/video/BV1f8411a7WD,罗翔说哲学-,0,467068,328,365,18827,0,109,781
51,"""中国的英雄是可以跪的，甚至可以从别人的胯下钻过去""",https://www.bilibili.com/video/BV1oP41177y9,不会剪辑的钱多多,0,1407708,103,1501,119802,0,246,10138
52,请允许一些人有安静的青春,https://www.bilibili.com/video/BV1ze4y127M7,吴一斤斤,0,339188,713,4986,23891,0,1253,3608
53,春秋24：勾践为吴王做牵马奴，卧薪尝胆20年，一战洗刷多年耻辱！,https://www.bilibili.com/video/BV1oR4y1Q7Tg,牛牛一起搞笑,0,514607,166,186,14091,0,42,678
54,超级英雄给孩子们带来了什么？,https://www.bilibili.com/video/BV1he411G7FA,千秋燃剪,0,211529,268,1558,41260,0,195,6116
55,三德用的什么兵器，这是他自创的三节棍,https://www.bilibili.com/video/BV1VP4y1m7JD,二匠电影,0,392792,87,59,23362,0,10,538
56,第十七集｜突厥将军竟从一盘青菜中，看出王世充打不过几李世民的原因。#影视解说...,https://www.bilibili.com/video/BV1fD4y1b7dU,多零电影丫,0,429121,225,73,17413,0,16,572
57,请 给 这 个 男 人 一 张 世 界 地 图 !,https://www.bilibili.com/video/BV1Ee4y147of,海棠家的大肥鱼,0,260086,428,4888,22364,0,594,4994
58,电子榨菜，伴你下饭！克苏鲁风爽爆年度恐怖网剧《吉尔莫·德尔·托罗的奇思妙想》,https://www.bilibili.com/video/BV1KP411P7ZB,刘哔电影,0,307867,581,3626,18568,0,847,3302
59,也许T3000被称为最强终结者，但是碰到T800还是要被终结！,https://www.bilibili.com/video/BV1rK411U7dq,小猪猪高清原创,0,439160,86,61,13334,0,18,680
60,“你在大雪纷飞中迎娶我，我在白雪皑皑中送别你”,https://www.bilibili.com/video/BV1Ue4y1E7K2,帅气流川风,0,2715200,686,4072,98641,0,885,68382
61,王志文拒绝出演林耀东，导演无奈选择王劲松，不料被他演封神,https://www.bilibili.com/video/BV1Dt4y1T7U1,东苍电影,0,371762,88,128,24820,0,23,1124
62,国剧终于有手刃所有恶人的反派女主了！！看起来人畜无害 结果是全剧的大boss ！划破喉咙那一刀真的利落到吓人！,https://www.bilibili.com/video/BV12G4y1b7LF,nbys08,0,388292,586,1864,19315,0,3318,5703
63,沟通是门艺术，丈母娘与女婿的关系你就得这么处！,https://www.bilibili.com/video/BV1Yg411z7gS,胡桃桃子的恋爱日记,0,471211,70,196,12894,0,498,1095
64,玉鼎真人送长寿面 玉鼎真人虽然一直说他给自己惹麻烦 但真的很在乎这个徒弟,https://www.bilibili.com/video/BV1ct4y1M7aP,吃瓜小几,0,357649,20,142,24604,0,139,1406
65,灭门惨案，冷血动物，1.2万字拆解台湾最黑暗的“政治大戏”「血观音」,https://www.bilibili.com/video/BV19W4y1j74q,太和的房间,0,269296,1673,9236,15864,0,807,4821
66,如果美嘉当初选择的是小峰!笨蛋美人x年下高材生弟弟超配的好吗,https://www.bilibili.com/video/BV11G4y1h7LD,好好学习MeU,0,279381,300,1424,19300,0,1419,4523
67,权力巅峰的吕良伟有多狂？一句话定人生死，碾压总华探长雷洛，香港无人敢惹,https://www.bilibili.com/video/BV1Le411G7uZ,黑猫聊电影,0,454933,371,183,16042,0,61,978
68,天堂和地狱都抢着要的男人，最帅驱魔师！,https://www.bilibili.com/video/BV1Ut4y1T71A,昭希燃剪,0,304352,134,447,19787,0,181,3740
69,女孩因为头痛来到理发馆，可女孩头上的东西，竟把托尼老师吓得瞪大眼睛说不出话,https://www.bilibili.com/video/BV1we4y1m7Be,爱下雨的羊,0,525181,32,36,6328,0,29,144
70,脑洞大开的武侠电影，两个小孩疯狂锻炼舌头，只为练成蛤蟆功,https://www.bilibili.com/video/BV15G4y1b7na,雄哥说剧吧,0,568684,78,103,17979,0,74,514
71,天选CP的匹配罗曼史！,https://www.bilibili.com/video/BV1mt4y1T7BU,0011LLYY,0,236858,215,658,33458,0,1133,3307
72,全世界都是唐氏患者，人们都不会系鞋带，但他是个例外！奇幻短片,https://www.bilibili.com/video/BV11D4y1b77q,77电影,0,532068,117,163,32593,0,161,1454
73,【长工】2022年最新科幻、悬疑佳作《边缘世界》第三期  本以是玩个游戏，结果是时间穿越！,https://www.bilibili.com/video/BV1SV4y1g7U7,蔡老板家的长工,0,311220,951,4363,15571,0,241,1515
74,你陪我长大，我陪你变老！,https://www.bilibili.com/video/BV1be4y1478D,郑丽芬er,0,277707,158,401,31559,0,70,882
75,蝎子布局，谋杀何晨光，红细胞小组全员被活捉《我是特种兵之利刃出鞘》P4,https://www.bilibili.com/video/BV1FP4y1S75S,呆尼撩剧,0,696948,84,279,1549,0,5,12274
76,《憨豆特工》当你碰到一个满级的憨豆先生时，又会发生什么事呢？,https://www.bilibili.com/video/BV1vd4y1y7oq,仓鼠悠,0,528008,209,470,30232,0,121,855
77,穷亲戚投靠朱元璋，还直呼皇后大名秀英，简直是活腻了！,https://www.bilibili.com/video/BV1j8411Y7qz,剧说叨叨,0,420194,44,36,11738,0,13,429
78,败家子气死老爹，却意外得到宝地，从此走上人生巅峰,https://www.bilibili.com/video/BV1CD4y1b7p1,苏伯牙电影,0,417308,126,74,19359,0,25,843
79,蛙妈妈给孩子泡温泉，不料吃货小尤达闯下弥天大祸，科幻片天花板,https://www.bilibili.com/video/BV1Qt4y1T7aC,小茶放映,0,422359,16,62,6827,0,21,459
80,龙族之战！无牙仔却成了意外··· #动画电影,https://www.bilibili.com/video/BV1te411G7Wt,飞飞剧场,0,413073,24,39,7828,0,9,241
81,对象收入比自己高是什么体验？,https://www.bilibili.com/video/BV1E14y1L7jp,惠伦哥,0,455707,616,338,30613,0,291,2003
82,90后 00后考教资,https://www.bilibili.com/video/BV1JP4y1m79a,无敌灏克,0,226589,64,110,30272,0,182,1691
83,“韩剧好像有那个男二牛逼症”,https://www.bilibili.com/video/BV1xD4y1b7r5,iman_u,0,202004,100,157,27252,0,379,4031
84,懂蝴蝶效应的女人真让人感到可怕，唯独这个是最罕见的！,https://www.bilibili.com/video/BV1Ym4y1F7Et,莫西芽菜,0,1612444,34,118,3871,0,4,5174
85,抗日神剧惊现黑科技！老赵化身战地发明家，说这是黑客帝国我都信,https://www.bilibili.com/video/BV1ZR4y1Q7mL,文西与阿漆,0,265878,2701,2068,23513,0,774,1093
86,热爱没有偏见，会有花开的一天。,https://www.bilibili.com/video/BV1ce4y127MA,最佳李芊芊,0,664576,0,112,1211,0,3,8261
87,去年三月份套的圈，大爷居然还记得，被认出来了,https://www.bilibili.com/video/BV1Md4y1179X,左手圈王,0,244178,312,6124,21038,0,128,813
88,片中终极谜案：苏菲会魔法？--逐帧解读《哈尔的移动城堡》拉片③,https://www.bilibili.com/video/BV1ug4116731,_风过大泽,0,174791,1138,10513,17890,0,473,3141
89,他全身90%烧焦，很快自愈并意外获得特异功能,https://www.bilibili.com/video/BV1YK411U7c7,空天影视,0,381442,391,114,17942,0,14,883
90,艾米丽在巴黎-富家女独留巴黎做保姆，一不努力就要回去继承家产了,https://www.bilibili.com/video/BV16m4y1F77B,好刷英语,0,321887,49,57,14768,0,17,833
91,男人许愿拥有数不清的金币，结果堆满整栋别墅，瞬间把他淹没,https://www.bilibili.com/video/BV14P411P7XJ,拾柒影者,0,632010,70,42,12476,0,8,372
92,新娘忘记自己结婚了，每天下班后直接回娘家，太搞笑了,https://www.bilibili.com/video/BV1W84y1i7NS,可爱包包啊,0,385487,155,45,10388,0,26,620
93,“他明明可以用手枪抢劫，非要用香皂，他真的很绅士”,https://www.bilibili.com/video/BV11e41157wM,TT陪琳,0,2271627,3137,8851,83319,0,12790,21037
94,小沈阳出演《唐探一》的绑匪头头，用一句话征服了所有的观众,https://www.bilibili.com/video/BV1Re4y127ty,小苏侃剧v,0,352154,12,47,11778,0,1,312
95,精灵王子隆德和矮人王子都林终于重归于好，精灵和矮人准备合作 #指环王力量之戒 #指环王 #新片速递 #奇幻,https://www.bilibili.com/video/BV1JK411U7jp,桔儿-z,0,368291,47,45,20251,0,13,585
96,既分高下，也决生死！,https://www.bilibili.com/video/BV1aP411A7jh,翻拍小分队,0,5127858,11815,451508,743639,0,12794,100860
97,原来在电影《黑豹》中，还有这么多的隐藏细节！（3_3）#漫威 #超级英雄 #细节 #黑豹 #科幻,https://www.bilibili.com/video/BV1YK411U7E1,故事还未走远---,0,416861,11,48,6363,0,5,252
98,完全理解，他为什么能被观众记这么多年！,https://www.bilibili.com/video/BV1pP411P7zj,老剧回忆录,0,216458,139,420,24805,0,206,1872
99,将旧轮胎变废为宝，巴铁小哥手工制作沙发座椅，惊艳全场！,https://www.bilibili.com/video/BV1qW4y1j7Jp,阿wen视界君,0,382557,132,130,8013,0,32,482
