,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
41,日本手办超级扭蛋机！10W日元能抽到什么呢！,https://www.bilibili.com/video/BV1pD4y1b7Mw,飞社长,0,596259,3077,20793,64286,0,551,2933
42,十八岁，四点半就要起床为孩子们做饭,https://www.bilibili.com/video/BV18P411A7HB,-养生枸杞,0,914524,1821,3312,78531,0,9230,9861
43,那就祝有爱者更爱，无爱者自由,https://www.bilibili.com/video/BV1D8411a7ua,米雷-RayDog,0,399408,52,4062,72464,0,864,3105
44,小黑子蒸虾头，十 两点半来打卡 还食了油饼,https://www.bilibili.com/video/BV1vK411U7bD,鸡你太美华式炸鸡,0,776730,111,366,61411,0,215,2743
45,女子背熟睡孩子卖气球无人光顾偷偷抹眼泪 ，路人全部买下送给附近小朋友,https://www.bilibili.com/video/BV1aV4y1g7sE,北京时间,0,324523,746,9214,67017,0,1355,4056
46,看来火车站已经不好糊弄了！,https://www.bilibili.com/video/BV1DK411U7QH,手艺贾,0,882044,1489,766,41959,0,372,1402
47,在新疆140几天了，啥时候是个头啊希望快快恢复吧,https://www.bilibili.com/video/BV1SW4y1j7j2,旅途船长一一一,0,1350433,1748,20742,45924,0,12338,3090
48,哈哈哈请原谅我笑点这么低  央视你真是故意的！,https://www.bilibili.com/video/BV1GG4y1b7Ua,铁柱大导演,0,648615,199,1062,33852,0,10771,6403
49,《当代大学生的精神状态》,https://www.bilibili.com/video/BV1uP411P7sL,笑笑制片厂,0,463709,419,2547,57668,0,9043,8781
50,打开盒子的那一刻，我哭了！,https://www.bilibili.com/video/BV1ue411G7Yq,主持人yoyo酱,0,511423,794,1507,63294,0,361,1113
51,在俄罗斯在阳台上喂鹰是常见的事,https://www.bilibili.com/video/BV1xP4y1m7K4,你的俄罗斯好朋友,0,375722,54,90,80789,0,184,3006
52,学生时期的奇怪鄙视链,https://www.bilibili.com/video/BV1te411G7yQ,黄一刀有毒,0,1927173,4475,3700,69835,0,1324,20382
53,校园网豹时的尴尬（超级无敌真实）,https://www.bilibili.com/video/BV1ov4y1S7Bw,萧枭同学,0,480337,300,722,53939,0,143,3325
54,涂指甲油、玩消消乐、做迷你美食...万物皆可变羊毛毡，好治愈好可爱！,https://www.bilibili.com/video/BV1zd4y1y7Cq,YouTube精彩视频-,0,565802,377,8242,117495,0,3295,17523
55,一个简单的减龄小妙招！,https://www.bilibili.com/video/BV12g411z7AQ,是个维维啊,0,546355,65,478,54866,0,610,1314
56,真实欲念年龄检测！你是9岁出家，还是100岁老顽童呢？,https://www.bilibili.com/video/BV16P411P7dQ,不愧是姐姐大人,0,434578,3148,7218,37623,0,5735,5007
57,当我女朋友又买了一个小夜灯……,https://www.bilibili.com/video/BV1Ge4y147wf,冬冬和37,0,537851,214,594,50578,0,1948,1370
58,飞进球门的纸飞机，原来是人类发明的第一架纸飞机,https://www.bilibili.com/video/BV1p8411a74M,纸飞君,0,437117,110,441,76867,0,223,11810
59,论外语的副作用？,https://www.bilibili.com/video/BV1Xv4y1S7Xb,Thurman猫一杯,0,478634,319,1004,54068,0,628,1795
60,刘慈欣还是留了一手是什么梗【梗指南】,https://www.bilibili.com/video/BV1Qe4y127Y3,梗指南,0,1797842,1991,1997,167162,0,2228,7310
61,国服石头人,https://www.bilibili.com/video/BV18W4y1j78a,蚱蠓,0,619270,259,2062,30821,0,12330,3509
62,有些事对小学生来说太幼稚，对大学生刚刚好,https://www.bilibili.com/video/BV1LG4y1b7LG,动物行为鉴赏,0,519734,423,1114,48343,0,10199,5902
63,在日本穿了汉服之后，我竟然….,https://www.bilibili.com/video/BV1Km4y1c7Dz,一颗Apple君,0,872824,1599,4462,98450,0,646,7822
64,家庭报利,https://www.bilibili.com/video/BV1GG411A74B,旺仔有内涵,0,865412,297,341,86559,0,1323,6795
65,现在开一家网吧真的赚钱吗？我开一家呆一周给你答案,https://www.bilibili.com/video/BV1aP411P7dV,敬汉卿,0,1984599,10050,31494,118490,0,5905,7953
66,地铁偶遇一只至冬企鹅,https://www.bilibili.com/video/BV1w14y1L7g8,门之匙Silve,0,249580,117,1343,61284,0,2292,5979
67,往脸上涂抹祖传白色粉末，这又是土著人的什么习俗？,https://www.bilibili.com/video/BV19R4y1Q7oh,李忆探险家去探险,0,527440,400,305,42534,0,75,3508
68,从此再也没有人敢看我的手机,https://www.bilibili.com/video/BV1ye411G7NY,乔乔和夫夫,0,410996,54,336,54457,0,1451,2150
69,有个事情要和大家报告一下，突然家就没了…,https://www.bilibili.com/video/BV1Bd4y1k7rH,kei和marin,0,530529,618,9452,31473,0,398,1955
70,神 秘 的 男 人 们 3,https://www.bilibili.com/video/BV1r84y1B7JS,是老胡没错,0,358236,782,12246,46352,0,3059,2680
71,打工人的精神现状be like,https://www.bilibili.com/video/BV1R8411e79h,饭团日记,0,927299,7,835,5664,0,28,20741
72,就剩两箱了,https://www.bilibili.com/video/BV1Dg41187i7,文武俩兄弟,0,2602442,3193,43093,350407,0,16081,15270
73,我 又 被 骗 了 ？,https://www.bilibili.com/video/BV1pG411A7MA,BBGG丶狮子喵,0,409538,314,2373,52657,0,362,616
74,S了都要只因,https://www.bilibili.com/video/BV1ge4y1v7Lu,一头沙雕猪坤巴哥,0,434560,316,1607,51935,0,1169,2698
75,校园上厕所该如何避免撞人,https://www.bilibili.com/video/BV11P411P7EN,孙逸轰,0,281458,238,832,54024,0,2420,5039
76,加拿大食品配料表你敢看吗？看过你才发现地球元素不够用,https://www.bilibili.com/video/BV1Sv4y1S76i,行走的大大大羊腿,0,1036791,1390,1155,85957,0,1508,4044
77,上海迪士尼偶遇米格拍下了全程,https://www.bilibili.com/video/BV1zg411h7AL,不会游泳的奶牙,0,1443550,642,2480,199048,0,6984,22751
78,万圣节里，总会有一些惊奇的际遇,https://www.bilibili.com/video/BV14P4y1m7tp,陈太乐,0,326631,250,3105,52845,0,1424,2549
79,如果不是监控记录下这一刻，没人会信！,https://www.bilibili.com/video/BV1Be411G79z,东尼ookii,0,582876,1320,1258,29837,0,237,1370
80,停更一段时间，宿舍关系真的很无语……,https://www.bilibili.com/video/BV1SW4y1j7H3,壹九五七,0,857226,651,563,25634,0,995,1897
81,会叫外婆了～,https://www.bilibili.com/video/BV1Bt4y1T7D8,瑶一瑶小肉包哦,0,672128,145,345,45789,0,1830,1855
82,如果丧尸爆发了，可以选三个英雄联盟的技能，你该怎么选？？？,https://www.bilibili.com/video/BV1bG4y1h7wP,林一的记忆,0,494840,2097,790,28101,0,927,3445
83,我国的非文化遗产岂是国外能学到的东西！,https://www.bilibili.com/video/BV1Gv4y1D7NW,閌康k,0,420660,50,199,43149,0,59,1769
84,"""绘制两年半""《小鸡子图》坤坤九年在会鸡山，请网友鉴赏~",https://www.bilibili.com/video/BV1Ve4y147D2,李青仪,0,3531963,9018,282171,388799,0,127696,97748
85,纽约探店一日游！据说这是纽约粤菜天花板？？,https://www.bilibili.com/video/BV1ye411G7Zn,拿拿nah,0,441589,1773,4556,36072,0,597,2077
86,“善与恶都不够纯粹，所以痛苦”,https://www.bilibili.com/video/BV1k8411a7LP,画画顺安-Niallnan,0,365991,136,1225,39448,0,417,5563
87,《One Last Chicken》,https://www.bilibili.com/video/BV1je4y147J9,KM二号,0,2169714,1664,53820,202905,0,47498,65694
88,“你以为是放生实际上是献祭”,https://www.bilibili.com/video/BV11t4y1T7x9,秃马君,0,997035,551,321,9333,0,511,7502
89,住手！嗜血的人类！,https://www.bilibili.com/video/BV18d4y127HL,搞事明天玩什么,0,905242,1575,501,24883,0,1860,3294
90,发明：食堂阿姨打饭防抖辅助勺,https://www.bilibili.com/video/BV1E14y1L71C,小李技术学,0,450463,329,656,46167,0,1900,2538
91,东土大唐来的喵星人,https://www.bilibili.com/video/BV1a8411a71f,萌宠手绘阿星,0,981437,951,38836,155257,0,26800,37991
92,几个小老外谁的云南话更标准呢？,https://www.bilibili.com/video/BV1te4y1U7Tw,普洱王吉祥,0,1050841,115,454,73670,0,1306,2732
93,来39度的成都走一走，大家都是熟人-Vlog 08,https://www.bilibili.com/video/BV14D4y1b7yx,狈总,0,707475,2506,1551,31927,0,497,1171
94,氧气浓度突然直线下滑，你们开始变得难以呼吸。,https://www.bilibili.com/video/BV1dm4y1F7Eq,雄十一浪,0,449643,357,565,69805,0,261,4534
95,传你一套良心觉醒拳，让老板醒醒吧。,https://www.bilibili.com/video/BV1aG4y1h7HK,圆脸颖入职记,0,603986,375,2089,71456,0,2052,2313
96,别的省降温vs山东省降温,https://www.bilibili.com/video/BV1fV4y1G7xn,-小米课代表-,0,527458,436,636,37773,0,5143,5024
97,教您如何画一个简单的只鹦（只因）……,https://www.bilibili.com/video/BV1dP411A7A5,蛋挞蛋挞RockLee,0,798884,228,12522,81802,0,10726,55597
98,朋友们，又做了一个大工程！这是一个有味道的视频哦！（还有下集）,https://www.bilibili.com/video/BV1Ym4y1F7T8,帅农鸟哥,0,854062,5009,10505,98842,0,661,2562
99,吃个冰淇淋，给孩子吃出800个心眼子！【宝宝第一视角】,https://www.bilibili.com/video/BV1EG4y1b7Zi,一个李欢喜,0,367396,380,2132,35749,0,7333,3766
