,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
36,吃过N多麻辣烫，我终于找到了最好吃的做法！,https://www.bilibili.com/video/BV1zd4y1k7GT,猪宝学厨,0,290932,204,1038,26985,0,1022,14368
37,人均50牛肉吃到顶！北京小胡同里的火锅馆，秘制香辣蘸料是绝配,https://www.bilibili.com/video/BV1MR4y1X7Be,食贫道,0,415596,2201,6046,26806,0,4729,3827
38,【日本办公室料理】社长：生蚝一定只能加柠檬汁！不服来辩！,https://www.bilibili.com/video/BV1iP411P7Fs,長野社長,0,707213,216,763,65172,0,385,2468
39,出来混，总是要胖的【4】,https://www.bilibili.com/video/BV1wt4y1u7VZ,白日梦不要钱--,0,7771000,6162,41682,607785,0,166421,137834
40,这到底是谁发明的吃法！他真的…我哭死！,https://www.bilibili.com/video/BV1FG4y187RK,小满家的晚饭,0,420378,770,3198,29300,0,420,3686
41,这就是我一直不敢吃网红手剥笋的原因...,https://www.bilibili.com/video/BV1SG4y1h76G,撕袜奶茶,0,486654,940,2942,25271,0,160,1082
42,自助餐只有我们仨吃炒饭！,https://www.bilibili.com/video/BV1bd4y1c7nu,吃不饱仨战士,0,908334,691,1806,80954,0,1059,1854
43,探店上海最便宜的寿司店，吃完竟然感到血亏？到底多离谱！,https://www.bilibili.com/video/BV1684y1i7vX,哇塞几张,0,387504,1586,5369,32595,0,603,1269
44,泡面刺客，真的好吃吗？,https://www.bilibili.com/video/BV1FV4y1V7Lo,网不红萌叔Joey,0,446699,2319,1742,24402,0,954,2016
45,呐这个巴斯克蛋糕真的好简单的，快给你的爹地妈咪做一个吧,https://www.bilibili.com/video/BV16t4y1T7JW,空气拿铁,0,223053,161,428,34971,0,703,7954
46,耗时72小时做出来的古法墓坑羊肉，会比高压锅做的好吃吗,https://www.bilibili.com/video/BV13v4y1D7sH,在下猪肉佬,0,309213,1429,19721,25081,0,226,1832
47,香蕉饼教程来啦,https://www.bilibili.com/video/BV1aD4y1b7rK,泰国肥猫,0,178357,465,22040,30974,0,167,3592
48,买200海鲜，爷俩在家吃“海鲜大咖”满满一锅，还是自己做实在！,https://www.bilibili.com/video/BV1CP411P7Dz,胖龙的小生活,0,635751,2567,3772,22599,0,433,1427
49,意面这么做，盘子都给你舔破！,https://www.bilibili.com/video/BV1vG4y1h77d,马壮实Hera,0,242002,341,7088,22213,0,942,7476
50,肉  蛋  葱  。,https://www.bilibili.com/video/BV1dK411U72C,Tiger西西,0,239552,555,1812,47147,0,501,1517
51,用海克斯科技制作三款饮料，没想到做出来真的一模一样,https://www.bilibili.com/video/BV1Vd4y1c7kL,拜托了小翔哥,0,374530,620,3019,29331,0,349,1214
52,「恶婆千金」,https://www.bilibili.com/video/BV1UP4y1S7i3,雅儿推文,0,456196,0,251,1512,0,3,10940
53,大学城边上的实惠小吃，25一锅的火锅米线，天冷吃也太幸福啦～,https://www.bilibili.com/video/BV1xG411A7bp,方芳的快乐生活,0,399391,2426,4027,21408,0,915,1152
54,韩国爆火情侣约会圣地!满到溢出的炸虾盖饭+流浆芝士牛排,https://www.bilibili.com/video/BV1We4y147oo,羊羊羊PD,0,340893,1809,5881,26397,0,1128,1746
55,顾客：这烤肉有种转瞬即逝的美好,https://www.bilibili.com/video/BV1w14y1L7iR,世界美食official,0,337241,595,2389,31793,0,893,996
56,芬兰家人为了羊蝎子火锅抢起来！过桥米线太过瘾，汤底喝到一滴不剩！太满足吃到扶墙出！,https://www.bilibili.com/video/BV1TV4y1V7gz,雨琪在芬兰,0,1025507,6262,47459,110588,0,1231,7284
57,中国烹饪大师教我做的红烧肉，我在家复刻出来了！外婆红烧肉～,https://www.bilibili.com/video/BV18W4y1j7XW,安秋金,0,342219,308,3440,42151,0,1384,16010
