,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
38,国外气枪真人吃鸡。老六操作第一视角。,https://www.bilibili.com/video/BV1ym4y1w7ZJ,楼哥解说,0,1352923,919,1003,44104,0,1658,14935
39,疑似播求的黑衣教官凶残练兵，对着新兵就是拳打脚踢，打到没力气！,https://www.bilibili.com/video/BV1bR4y1Q7GC,屿风体育,0,917075,99,165,10062,0,19,541
40,奥运会场上最具争议比赛，究竟是裁判错误判罚，还是技不如人,https://www.bilibili.com/video/BV1pe411G7UE,星记体育,0,253674,58,41,8106,0,3,139
41,东亚第一，现役最强黄种人，拥有庞大肌肉量却依然肩宽腰细,https://www.bilibili.com/video/BV1TR4y1X78S,纳比斯丁toMuscleTV,0,284082,199,12,3303,0,222,246
42,飞盘是你们这么玩的吗？！,https://www.bilibili.com/video/BV1YD4y1b7ZT,一只大哈鱼,0,143304,275,1346,21205,0,122,1255
43,无间道,https://www.bilibili.com/video/BV14V4y1G7ka,萌萌的好康,0,403749,147,1549,32711,0,1581,2985
44,现场观战英超曼联1比0西汉姆联！人生第一场英超献给老特拉福德！350镑顶配球票见证拉师傅头球制胜！,https://www.bilibili.com/video/BV1Nd4y1174w,鸡锟苗师傅,0,186225,1868,2879,11542,0,1176,803
45,没有我你们赢不了球！西热力江复仇新疆同曦五连胜收官,https://www.bilibili.com/video/BV1Zg411z7NA,阿硬说个球,0,231369,75,98,8699,0,80,233
46,在女友面前遇到强壮猛男怎么办,https://www.bilibili.com/video/BV1Kd4y117E5,马哥巨离谱,0,204202,655,1338,11156,0,319,419
47,你想对这样的队友说点啥,https://www.bilibili.com/video/BV1UG4y1h7Dc,南宁篮球混剪No10,0,270761,8,16,1575,0,91,104
48,“这个时代最缺的就是对前辈的尊重” #威少#布克#保罗乔治,https://www.bilibili.com/video/BV1RK411U74p,爱篮球的萧子颠,0,235124,166,98,5964,0,270,345
49,你们评论,https://www.bilibili.com/video/BV1N14y1L7yQ,仙人老表,0,407625,97,268,23770,0,298,879
50,“是什么 让你突然开始运动”#跑步 #坚持跑步🏃 #马拉松,https://www.bilibili.com/video/BV1i84y1i72n,丹尼斯deniss,0,100728,59,319,28335,0,78,484
51,好邻居“蜘蛛侠”已上线！米切尔个人混剪,https://www.bilibili.com/video/BV1Ae4y1m7Cu,不会剪辑的果子君,0,170388,237,1550,11484,0,269,1144
52,巴黎圣日耳曼4-3逆转特鲁瓦！无解世界波+上帝视角助攻，梅西告诉你什么是球王！,https://www.bilibili.com/video/BV1Am4y1c781,彤多体育,0,235806,520,145,3311,0,562,246
53,完爆波比跳的1个动作，瘦全身！正体态！塑体形！,https://www.bilibili.com/video/BV1mt4y1T7FC,叔贵,0,84252,422,2881,8080,0,866,5068
54,"杜兰特妈妈和塔克之间这一幕真的太温馨了! ""杜兰特 ""NBA创作营 ""篮球新世代",https://www.bilibili.com/video/BV1Ut4y1T7CQ,拿真心换伤心,0,225891,10,27,7264,0,11,152
55,这一刻，我是真的想杀了姆巴佩！,https://www.bilibili.com/video/BV1j8411Y7tA,小八聊网文,0,235222,81,73,2774,0,3197,440
56,“我把腹股沟拉伤的事保密，因为我并不是一个为失败找借口的人”,https://www.bilibili.com/video/BV1se4y1i7jW,黑色閃電WR9581919,0,214975,42,239,16958,0,27,596
