,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
49,【求求】对食文学：太监是没根的东西，受不住「情」,https://www.bilibili.com/video/BV1HR4y1Q7u6,求求扣扣困困,0,1877277,4426,86404,199961,0,30091,56483
50,《我肯定在几百年前就不爱学习》,https://www.bilibili.com/video/BV1914y157ML,AB鲜,0,3856160,4160,176113,418402,0,40764,102762
51,全国漂流半年的相机会拍出怎样的照片？(上),https://www.bilibili.com/video/BV1EK411U7uU,-LKs-,0,758090,2908,24413,71227,0,12571,8833
52,老婆：你现在都玩这么变态的吗！？,https://www.bilibili.com/video/BV1ce411G7XR,麟宣森,0,7823933,19112,1482522,1484957,0,21314,256672
53,原 切 猪 肉 & 整 切 花 卷,https://www.bilibili.com/video/BV1jD4y1b7TF,魔鬼厨房Neo,0,837376,603,3243,96262,0,4075,12431
54,我的车被砸了，我是这样处理的。,https://www.bilibili.com/video/BV1PG411A7ko,艾瑞课,0,1039459,3609,36841,71014,0,1040,6949
55,爱 情 最 强 王 者,https://www.bilibili.com/video/BV1XG4y1h7ps,王七叶-,0,970187,635,2912,113051,0,2008,4454
56,FIRST FRAME单元宣言短片《我的朋友》,https://www.bilibili.com/video/BV1UK411U7B3,FIRST影展,0,257655,46967,34669,39871,0,18809,22486
57,【STN快报6.5季11】神谷英树提出一小时一千块，被一女性拒绝,https://www.bilibili.com/video/BV1TG411A7vq,STN工作室,0,771548,9218,33777,65497,0,1566,10565
58,“喜欢这种氛围感，雨声很大内心却很平静～”,https://www.bilibili.com/video/BV1dR4y1Q7vZ,咕咕啊啊咕,0,426664,461,6228,96578,0,4296,32688
59,猫猫怎么可以这么倒霉！,https://www.bilibili.com/video/BV15P4y1m7r9,戒喵中心,0,1157923,623,1745,109388,0,10353,11289
60,王老菊教你断剑奇侠（第二季03）- 剑冢舞王！,https://www.bilibili.com/video/BV12g411z78Z,怕上火暴王老菊,0,559021,10970,50171,47381,0,2491,14731
61,我说一句男人至死是少年，应该不过分吧.....,https://www.bilibili.com/video/BV1Cd4y1k7Eg,赖活青年,0,1639428,186,423,105217,0,291,4764
62,《二 次 元 牛 逼 导 航》,https://www.bilibili.com/video/BV1Eg41167yQ,绫人太太啊,0,984211,2421,30838,133881,0,7296,16556
63,《 创 新 蟹 黄 汤 包 》,https://www.bilibili.com/video/BV1Ye4y127rb,记录生活的蛋黄派,0,972687,4522,21334,121195,0,776,5385
64,央美学长帮你挑衣服，不要拉倒（doge,https://www.bilibili.com/video/BV1Ue4y1e7SF,晓观队长,0,1161931,2038,34289,84297,0,7294,77223
65,【阿斗】又死一个主角，温柔贤良瑟曦登顶巅峰！美剧史诗巨作《权力的游戏》第16期,https://www.bilibili.com/video/BV1yd4y1k7Np,阿斗归来了,0,582931,5985,49794,69890,0,712,7691
66,lovepotion,https://www.bilibili.com/video/BV1A8411Y7Tr,蜡笔巴拉巴拉新,0,1347975,729,18371,70954,0,2103,12282
67,鲁豫，这次洗白了吗？【飘飘】,https://www.bilibili.com/video/BV1rV4y1g7LE,柳飘飘了吗,0,1107495,4870,15594,63509,0,3096,8794
68,生 日 当 天 结 婚 啦 ！！,https://www.bilibili.com/video/BV1Wm4y1F7FF,伢伢gagako,0,1033791,1203,17226,72604,0,719,7281
69,【昏黑造船厂400杀】摆完挂机 简单好抄,https://www.bilibili.com/video/BV1zP4y1m7AC,萧然Q,0,852918,2336,31892,50252,0,3809,9854
70,学姐也会恋爱告急？！！,https://www.bilibili.com/video/BV1kd4y1k7g3,兔总裁s,0,1671491,2087,12122,60985,0,4739,34532
71,《原神》自制角色演示-「纳西妲：白草净华」,https://www.bilibili.com/video/BV12t4y1T7WJ,影度SDG,0,918647,1984,14271,77925,0,8549,8340
72,这就是传说中的黑色黄金吗？,https://www.bilibili.com/video/BV1nV4y1G7k7,南翔不爱吃饭,0,5256112,4258,164155,488358,0,3072,109961
73,【水果猎人】原神热门水果鉴定,https://www.bilibili.com/video/BV1Zm4y1w7PG,水果猎人杨晓洋,0,1910440,4365,10626,243378,0,7084,16428
74,“她说了一句话，全校听完之后都炸了...”,https://www.bilibili.com/video/BV1jG411A7aZ,柠檬派奇幻漂流,0,1045445,47195,4445,50536,0,2106,17217
75,要和喜欢的人要一起贴贴,https://www.bilibili.com/video/BV1qP411P7cF,小叮当玩具达人,0,3732107,707,1132,65862,0,19710,13266
76,还以为她们退圈了…原来都去演了妈妈？！对比发现内娱这妆造倒退的太离谱了吧！,https://www.bilibili.com/video/BV1uP4y1m7tM,橘里崽崽,0,1246383,7133,6174,61750,0,3811,14426
77,【医学博士】30天不洗脸，会发生什么？I 90%的人都不知道的洗脸误区！,https://www.bilibili.com/video/BV1QG4y1h74s,兔叭咯,0,1250845,3809,6587,77613,0,3716,12764
78,【S12全球总决赛】淘汰赛 10月30日 JDG vs T1,https://www.bilibili.com/video/BV1Cm4y1F7Y7,哔哩哔哩英雄联盟赛事,0,3683318,71914,7225,29099,0,3320,4424
79,真是太搞笑了,https://www.bilibili.com/video/BV1t84y1i7Hs,老非凡了啊,0,913027,496,2686,31489,0,137,31949
80,【时代少年团】《共生长——Common growth 》2023台历拍摄花絮,https://www.bilibili.com/video/BV1rm4y1F7dM,TF家族,0,953841,72334,21553,81747,0,4604,16797
81,苦了孩子也不能苦了自己,https://www.bilibili.com/video/BV1SK411U7Ve,甜甜草酿鸡,0,782956,171,1976,74812,0,12974,10918
82,《青莲兰陵》寻找极限去突破有限，这就是兰陵王的魅力！！！,https://www.bilibili.com/video/BV1EG4y1b7T9,青莲又失利了,0,630704,968,20787,81272,0,1230,6870
83,【Faye詹雯婷x张远】《嘉宾》,https://www.bilibili.com/video/BV1eG411A7QF,张远Bird,0,629603,2379,27072,40475,0,14413,16284
84,【吸奇侠】《教父》柯家废弟赌城惨遭打脸，如何铺好后路？16,https://www.bilibili.com/video/BV1TR4y1X77W,吸奇侠,0,443284,4021,51824,54193,0,1419,10284
85,忘了山水一层，已是三生有幸，哈哈.....,https://www.bilibili.com/video/BV1gV4y1V7Ws,_TanYK,0,561955,418,5302,120428,0,1779,30760
86,是谁教你这么配音的？每一个音都落在我意想不到的地方哈哈哈,https://www.bilibili.com/video/BV1yK411U78a,只想暴富啊啊啊,0,818993,448,2759,66393,0,23266,14885
87,先 别 急,https://www.bilibili.com/video/BV158411Y77z,绘之音,0,453040,308,11140,69711,0,1667,16452
88,如果“出口成脏”到“谢谢你”之间只是隔了一扇门，那我愿意成为打开她的那个妙人~,https://www.bilibili.com/video/BV1ve4y127un,边牧追风,0,730360,249,4925,93869,0,634,7697
89,南昌.时鲜楼滕王夜宴  厨子探店¥945,https://www.bilibili.com/video/BV1Ee4y147NW,真探唐仁杰,0,1157839,2044,1894,88439,0,855,2226
90,一咬就爆浆的鸡胸肉,https://www.bilibili.com/video/BV1vG411A7wQ,澳洲阿彭,0,1420528,927,28532,109899,0,7860,55007
91,再画两年，准备退休,https://www.bilibili.com/video/BV1714y1L7TJ,壁画师-佳佳,0,1335295,658,3125,135666,0,2543,6132
92,雨林缸里的神奇植物,https://www.bilibili.com/video/BV1Xe411G7bd,一木一叶造景-老李,0,758475,867,1358,100516,0,1288,6370
93,【不止游戏】这是一期帮你解决很多游戏问题的节目,https://www.bilibili.com/video/BV1nP411P7WL,森纳映画,0,372431,3334,20127,44752,0,1815,23223
94,80年后世界会变成怎样？高概念科幻剧解锁未来幻想！解说《边缘世界》第二集,https://www.bilibili.com/video/BV1YV4y1g7nC,小片片说大片,0,664393,1687,24963,59447,0,438,8440
95,相隔90天后的第一次见面，我和狮王奇克的双向奔赴,https://www.bilibili.com/video/BV1oW4y1j7HK,克里米亚野生动物园,0,369804,1819,63415,59702,0,1509,7111
96,将道德作为一种表演，就是作假吗？,https://www.bilibili.com/video/BV1WP4y1m77N,疆域阿力木,0,497726,707,11455,101804,0,397,2572
97,谁还不会个蝴蝶步啦,https://www.bilibili.com/video/BV1Re4y147qx,什锦鼬,0,1182400,235,5990,78892,0,3882,23549
98,小卖部史诗级大片，经费在燃烧！,https://www.bilibili.com/video/BV19e4y1473b,b阿牛小卖部,0,910175,3117,7582,66191,0,8626,10085
99,生命的延续，灵魂的救赎...,https://www.bilibili.com/video/BV1Be4y147rL,拾七的忘川,0,748732,60,1328,79787,0,406,9540
